time_s,worst_distance_m,threshold_m
11.234293628,982.289738405,10.000000000
11.246793628,986.035817898,10.000000000
11.259293628,989.781900228,10.000000000
11.271793628,993.527985365,10.000000000
11.284293628,997.274073277,10.000000000
11.296793628,1001.020163931,10.000000000
11.309293628,1004.766257299,10.000000000
11.321793628,1008.512353349,10.000000000
11.334293628,1012.258452051,10.000000000
11.346793628,1016.004553378,10.000000000
11.359293628,1019.750657298,10.000000000
11.371793628,1023.496763784,10.000000000
11.384293628,1027.242872809,10.000000000
11.396793628,1030.988984343,10.000000000
11.409293628,1034.735098361,10.000000000
11.421793628,1038.481214834,10.000000000
11.434293628,1042.227333737,10.000000000
11.446793628,1045.973455044,10.000000000
11.459293628,1049.719578728,10.000000000
11.471793628,1053.465704765,10.000000000
11.484293628,1057.211833129,10.000000000
11.496793628,1060.957963796,10.000000000
11.509293628,1064.704096742,10.000000000
11.521793628,1068.450231941,10.000000000
11.534293628,1072.196369372,10.000000000
11.546793628,1075.942509010,10.000000000
11.559293628,1079.688650833,10.000000000
11.571793628,1083.434794818,10.000000000
11.584293628,1087.180940942,10.000000000
11.596793628,1090.927089184,10.000000000
11.609293628,1094.673239521,10.000000000
11.621793628,1098.419391933,10.000000000
11.634293628,1102.165546398,10.000000000
11.646793628,1105.911702895,10.000000000
11.659293628,1109.657861404,10.000000000
11.671793628,1113.404021905,10.000000000
11.684293628,1117.150184376,10.000000000
11.696793628,1120.896348800,10.000000000
11.709293628,1124.642515155,10.000000000
11.721793628,1128.388683424,10.000000000
11.734293628,1132.134853586,10.000000000
11.746793628,1135.881025624,10.000000000
11.759293628,1139.627199518,10.000000000
11.771793628,1143.373375250,10.000000000
11.784293628,1147.119552803,10.000000000
11.796793628,1150.865732159,10.000000000
11.809293628,1154.611913299,10.000000000
11.821793628,1158.358096208,10.000000000
11.834293628,1162.104280867,10.000000000
11.846793628,1165.850467259,10.000000000
11.859293628,1169.596655369,10.000000000
11.871793628,1173.342845180,10.000000000
11.884293628,1177.089036675,10.000000000
11.896793628,1180.835229838,10.000000000
11.909293628,1184.581424654,10.000000000
11.921793628,1188.327621107,10.000000000
11.934293628,1192.073819182,10.000000000
11.946793628,1195.820018862,10.000000000
11.959293628,1199.566220134,10.000000000
11.971793628,1203.312422983,10.000000000
11.984293628,1207.058627393,10.000000000
