seed,iteration,best_duration_s
outward_geometric_start,419,4.588018061
outward_geometric_start,420,4.588018061
outward_geometric_start,421,4.588018061
outward_geometric_start,422,4.588018061
outward_geometric_start,423,4.588018061
outward_geometric_start,424,4.588018061
outward_geometric_start,425,4.588018061
outward_geometric_start,426,4.588060419
outward_geometric_start,427,4.588060419
outward_geometric_start,428,4.588060419
outward_geometric_start,429,4.588060419
outward_geometric_start,430,4.588060419
outward_geometric_start,431,4.588060419
outward_geometric_start,432,4.588060419
outward_geometric_start,433,4.588060419
outward_geometric_start,434,4.588060419
outward_geometric_start,435,4.588060419
outward_geometric_start,436,4.588060419
outward_geometric_start,437,4.588060419
outward_geometric_start,438,4.588060419
outward_geometric_start,439,4.588060419
outward_geometric_start,440,4.588060419
outward_geometric_start,441,4.588060419
outward_geometric_start,442,4.588060419
outward_geometric_start,443,4.588060419
outward_geometric_start,444,4.588060419
outward_geometric_start,445,4.588061090
outward_geometric_start,446,4.588061090
outward_geometric_start,447,4.588061090
outward_geometric_start,448,4.588061702
outward_geometric_start,449,4.588061702
outward_geometric_start,450,4.588061762
outward_geometric_start,451,4.588061762
outward_geometric_start,452,4.588061762
outward_geometric_start,453,4.588062092
outward_geometric_start,454,4.588062092
outward_geometric_start,455,4.588062352
outward_geometric_start,456,4.588062352
outward_geometric_start,457,4.588062352
outward_geometric_start,458,4.588062352
outward_geometric_start,459,4.588062352
outward_geometric_start,460,4.588062352
outward_geometric_start,461,4.588062352
outward_geometric_start,462,4.588062352
outward_geometric_start,463,4.588062352
outward_geometric_start,464,4.588062352
outward_geometric_start,465,4.588062352
outward_geometric_start,466,4.588062352
outward_geometric_start,467,4.588062374
outward_geometric_start,468,4.588062374
outward_geometric_start,469,4.588062374
outward_geometric_start,470,4.588062374
outward_geometric_start,471,4.588062374
outward_geometric_start,472,4.588062374
outward_geometric_start,473,4.588062374
outward_geometric_start,474,4.588062374
outward_geometric_start,475,4.588062374
outward_geometric_start,476,4.588062377
outward_geometric_start,477,4.588062377
outward_geometric_start,478,4.588062377
outward_geometric_start,479,4.588062377
outward_geometric_start,480,4.588062377
outward_geometric_start,481,4.588062377
outward_geometric_start,482,4.588062377
outward_geometric_start,483,4.588062378
outward_geometric_start,484,4.588062378
outward_geometric_start,485,4.588062378
outward_geometric_start,486,4.588062378
outward_geometric_start,487,4.588062378
outward_geometric_start,488,4.588062378
outward_geometric_start,489,4.588062378
outward_geometric_start,490,4.588062378
outward_geometric_start,491,4.588062378
outward_geometric_start,492,4.588062378
outward_geometric_start,493,4.588062378
outward_geometric_start,494,4.588062379
outward_geometric_start,495,4.588062379
outward_geometric_start,496,4.588062379
outward_geometric_start,497,4.588062379
outward_geometric_start,498,4.588062379
outward_geometric_start,499,4.588062379
outward_geometric_start,500,4.588062379
outward_geometric_start,501,4.588062379
outward_geometric_start,502,4.588062379
outward_geometric_start,503,4.588062379
outward_geometric_start,504,4.588062379
outward_geometric_start,505,4.588062379
outward_geometric_start,506,4.588062379
outward_geometric_start,507,4.588062379
outward_geometric_start,508,4.588062379
outward_geometric_start,509,4.588062379
outward_geometric_start,510,4.588062379
outward_geometric_start,511,4.588062379
outward_geometric_start,512,4.588062379
outward_geometric_start,513,4.588062379
outward_geometric_start,514,4.588062379
outward_geometric_start,515,4.588062379
outward_geometric_start,516,4.588062379
outward_geometric_start,517,4.588062379
outward_geometric_start,518,4.588062379
outward_geometric_start,519,4.588062379
outward_geometric_start,520,4.588062379
outward_geometric_start,521,4.588062379
outward_geometric_start,522,4.588062379
outward_geometric_start,523,4.588062379
outward_geometric_start,524,4.588062379
outward_geometric_start,525,4.588062379
outward_geometric_start,526,4.588062379
outward_geometric_start,527,4.588062379
outward_geometric_start,528,4.588062379
outward_geometric_start,529,4.588062379
outward_geometric_start,530,4.588062379
outward_geometric_start,531,4.588062379
outward_geometric_start,532,4.588062379
outward_geometric_start,533,4.588062379
outward_geometric_start,534,4.588062379
outward_geometric_start,535,4.588062379
outward_geometric_start,536,4.588062379
outward_geometric_start,537,4.588062379
outward_geometric_start,538,4.588062379
outward_geometric_start,539,4.588062379
outward_geometric_start,540,4.588062379
outward_geometric_start,541,4.588062379
outward_geometric_start,542,4.588062379
outward_geometric_start,543,4.588062379
outward_geometric_start,544,4.588062379
outward_geometric_start,545,4.588062379
outward_geometric_start,546,4.588062379
outward_geometric_start,547,4.588062379
outward_geometric_start,548,4.588062379
outward_geometric_start,549,4.588062379
outward_geometric_start,550,4.588062379
outward_geometric_start,551,4.588062379
outward_geometric_start,552,4.588062379
outward_geometric_start,553,4.588062379
outward_geometric_start,554,4.588062379
outward_geometric_start,555,4.588062379
outward_geometric_start,556,4.588062379
outward_geometric_start,557,4.588062379
outward_geometric_start,558,4.588062379
outward_geometric_start,559,4.588062379
outward_geometric_start,560,4.588062379
outward_geometric_start,561,4.588062379
outward_geometric_start,562,4.588062379
outward_geometric_start,563,4.588062379
outward_geometric_start,564,4.588062379
outward_geometric_start,565,4.588062379
outward_geometric_start,566,4.588062379
outward_geometric_start,567,4.588062379
outward_geometric_start,568,4.588062379
outward_geometric_start,569,4.588062379
outward_geometric_start,570,4.588062379
outward_geometric_start,571,4.588062379
outward_geometric_start,572,4.588062379
outward_geometric_start,573,4.588062379
