bomb,explosion_time_s,time_s,worst_distance_m,threshold_m
1,3.614000000,6.074925121,7.142338010,10.000000000
1,3.614000000,6.081818469,7.123607568,10.000000000
1,3.614000000,6.088711817,7.104945988,10.000000000
1,3.614000000,6.095605165,7.086353858,10.000000000
1,3.614000000,6.102498512,7.067831770,10.000000000
1,3.614000000,6.109391860,7.049380630,10.000000000
1,3.614000000,6.116285208,7.031000905,10.000000000
1,3.614000000,6.123178555,7.012693024,10.000000000
1,3.614000000,6.130071903,6.994457595,10.000000000
1,3.614000000,6.136965251,6.976295230,10.000000000
1,3.614000000,6.143858598,6.958206547,10.000000000
1,3.614000000,6.150751946,6.940192166,10.000000000
1,3.614000000,6.157645294,6.922252713,10.000000000
1,3.614000000,6.164538641,6.904388817,10.000000000
1,3.614000000,6.171431989,6.886601111,10.000000000
1,3.614000000,6.178325337,6.868890233,10.000000000
1,3.614000000,6.185218684,6.851256824,10.000000000
1,3.614000000,6.192112032,6.833701577,10.000000000
1,3.614000000,6.199005380,6.816225557,10.000000000
1,3.614000000,6.205898727,6.798828956,10.000000000
1,3.614000000,6.212792075,6.781512430,10.000000000
1,3.614000000,6.219685423,6.764276640,10.000000000
1,3.614000000,6.226578770,6.747122253,10.000000000
1,3.614000000,6.233472118,6.730049937,10.000000000
1,3.614000000,6.240365466,6.713060366,10.000000000
1,3.614000000,6.247258813,6.696154215,10.000000000
1,3.614000000,6.254152161,6.679332167,10.000000000
1,3.614000000,6.261045509,6.662594905,10.000000000
1,3.614000000,6.267938856,6.645943116,10.000000000
1,3.614000000,6.274832204,6.629377776,10.000000000
1,3.614000000,6.281725552,6.612899548,10.000000000
1,3.614000000,6.288618900,6.596508880,10.000000000
1,3.614000000,6.295512247,6.580206475,10.000000000
1,3.614000000,6.302405595,6.563993039,10.000000000
1,3.614000000,6.309298943,6.547869280,10.000000000
1,3.614000000,6.316192290,6.531835911,10.000000000
1,3.614000000,6.323085638,6.515893649,10.000000000
1,3.614000000,6.329978986,6.500043213,10.000000000
1,3.614000000,6.336872333,6.484285325,10.000000000
1,3.614000000,6.343765681,6.468620710,10.000000000
