time_s,full_target_worst_distance_m,center_point_distance_m,bottom_center_distance_m,threshold_m
9.80000000,114.38876788,114.38876788,114.38876788,10.00000000
9.81666667,119.37996975,119.37996975,119.37996975,10.00000000
9.83333333,124.37149849,124.37149849,124.37149849,10.00000000
9.85000000,129.36331625,129.36331625,129.36331625,10.00000000
9.86666667,134.35539082,134.35539082,134.35539082,10.00000000
9.88333333,139.34769460,139.34769460,139.34769460,10.00000000
9.90000000,144.34020380,144.34020380,144.34020380,10.00000000
9.91666667,149.33289782,149.33289782,149.33289782,10.00000000
9.93333333,154.32575873,154.32575873,154.32575873,10.00000000
9.95000000,159.31877083,159.31877083,159.31877083,10.00000000
9.96666667,164.31192035,164.31192035,164.31192035,10.00000000
9.98333333,169.30519512,169.30519512,169.30519512,10.00000000
10.00000000,174.29858437,174.29858437,174.29858437,10.00000000
10.01666667,179.29207855,179.29207855,179.29207855,10.00000000
10.03333333,184.28566912,184.28566912,184.28566912,10.00000000
10.05000000,189.27934846,189.27934846,189.27934846,10.00000000
10.06666667,194.27310972,194.27310972,194.27310972,10.00000000
10.08333333,199.26694674,199.26694674,199.26694674,10.00000000
10.10000000,204.26085396,204.26085396,204.26085396,10.00000000
10.11666667,209.25482636,209.25482636,209.25482636,10.00000000
10.13333333,214.24885939,214.24885939,214.24885939,10.00000000
10.15000000,219.24294888,219.24294888,219.24294888,10.00000000
10.16666667,224.23709109,224.23709109,224.23709109,10.00000000
10.18333333,229.23128255,229.23128255,229.23128255,10.00000000
10.20000000,234.22552012,234.22552012,234.22552012,10.00000000
10.21666667,239.21980091,239.21980091,239.21980091,10.00000000
10.23333333,244.21412227,244.21412227,244.21412227,10.00000000
10.25000000,249.20848176,249.20848176,249.20848176,10.00000000
10.26666667,254.20287714,254.20287714,254.20287714,10.00000000
10.28333333,259.19730632,259.19730632,259.19730632,10.00000000
10.30000000,264.19176739,264.19176739,264.19176739,10.00000000
10.31666667,269.18625858,269.18625858,269.18625858,10.00000000
10.33333333,274.18077823,274.18077823,274.18077823,10.00000000
10.35000000,279.17532483,279.17532483,279.17532483,10.00000000
